xi; L1; L2; L3; L4
0; 0.00712455; 0.0343627; 0.0640632; 0.00567181
0; 0.00712455; 0.0343627; 0.0640632; 0.00567181
0; 0.00712455; 0.0343627; 0.0640632; 0.00567181
0; 0.00712455; 0.0343627; 0.0640632; 0.00567181
0; 0.00712455; 0.0343627; 0.0640632; 0.00567181
